doc_id,cleaned_text,bertopic_topic,bertopic_probability
147283654,great place clean tidy perfect location easy get city tram cab ride outdoor space perfect sit sun spa bath good surprise,-1,0.0
25266023,great spot easy walking distance brunswick st although smith st good great size although wifi work besides great,34,0.7978362379062583
7131063,reservation canceled day arrival automated posting,10,1.0
259345044,really nice place comfy clean located near park vivian thought made fully autonomous duration,3,0.6389928251905124
95718680,fantastic great location beach fast transport link cbd great host helpful,0,0.899743690841906
304091666,lovely place restful peaceful comfy stylish lovely detail slipper magazine robe fresh muffin nice balcony gorgeous linen one cosiest b b stayed martin extremely quick communication called check running late forgiving turning time originally arranged loved longer thanks kat,-1,0.0
83666640,stayed weekend friend get away jarrod simone responsive welcoming arrived early dropped bag jarrod showed around finishing cleaning attentive friendly informative jarrod offered myki card travel around city suggested place go food shopping adventure provided map umbrella centre major shopping mall public transport restaurant convenient location spacious modern bed couch amazingly comfortable kitchen bathroom clean perfect downside directly next entrance building opening closing main door heard fairly loudly host amazing perfect,-1,0.0
56784282,natalia lovely helpful host enjoyed staying area nice quiet short walk uni public transport shop room comfortable tidy felt home great,-1,0.0
333102215,great heating shower,46,0.6525428561116515
52955378,stayed week lovely big enough feel cramped three clean tidy well located jean luc good host met arrived left happily visit,-1,0.0
223171766,decent place one small bedroom new building bought purpose,-1,0.0
350682092,great location good price recommend,11,1.0
292769389,good flat,23,0.460003274219891
347115487,thoroughly enjoyed friendly hostess great location clean comfortable,-1,0.0
139904399,great good location near shop transport city,44,0.6438662527129644
179177712,decent place literally brand new house may need house close airport well give plenty time rest importantly david kind helpful make trip even better strongly recommend place user,-1,0.0
104823991,welcoming safe area,-1,0.0
31305437,nous avon pas jours dans l appart bill ce mois avril qui une vue magnifique sur baie c est un plaisir jeuner face mer l apart est situe pres du tam mn pied il vous emmenne partout c est l website hidden est superbement situe un peu r novation dans salle bain et cuisine serais parfait je vous conseille l appart bill si vous allez,18,0.5372527890803498
346808048,perfect location south easy walk albert park great cafe close transport city,-1,0.0
63716387,love place per described listing even see real,-1,0.0
86310982,absolutely gave warm welcome great host attentive,-1,0.0
50328008,jay great host friendly helpful flexible check time place well located view awesome,-1,0.0
273965900,great place amazing view yarra need,13,0.628502845376531
255857988,nice convent location good need,101,1.0
222839839,,2,1.0
127750091,super nice michael house recommend,-1,0.0
137511802,great location great communication clean amazing place got need close city noisy got awesome view city price less,6,0.36918456888990936
238519720,great place located close amenity easy access tram train,1,1.0
274306787,place great central location could literally walk everywhere,34,0.8746434941272195
239238366,rhonda greg loveliest host stayed clearly thought space give guest privacy want touch welcome sweet absolutely wished could stayed longer maybe next time mkr challenge,-1,0.0
144175554,athira place like home away home good alternative backpacker athira mum welcoming warm even breakfast cooked mother walk bus stop like minute go straight city good place overall thank,-1,0.0
159403361,great place high recommended great host,67,0.8018367108215022
53830651,stayed one friend night small situated basement light coming clean well supplied enjoyed lot space outdoor provide swimming pool bbq area unfortunately sauna spa uninhabitable closed next year building nice restaurant cafe location handy minute walking cbd jeremy friendly spent time explain situated good communication pleasure deal,-1,0.0
198258706,wonderful family visiting wedding adji holly helpful preparation could get hair makeup stylist set day even let check couple hour early family long flight place clean needed woolies base building helpful view nd floor gym pool facility spectacular expected book international visitor,-1,0.0
140593565,perfect location close cbd public transport easy reach tony made nice easy,0,1.0
55006177,easy review make room stayed bathroom ensuite special large window displaying skyscraper city st floor really give big city feel room enough space bed comfortable shampoo shower gel provided great untidy another guest sleeping couch living room open kitchen made use living room tv impossible kitchen messy felt weird using even breakfast sunday evening although guest sleeping living room applied window lid hour loud disturbing girl home maybe even guest staying another room finished pm must say glad room since great even water boiler hardly ever needed go room really great central location right middle city famous shopping street queen victoria market right around corner gym pool used convenient must say glad room since great even water boiler hardly ever needed go room hardly ever saw beryl adam really say ok since get along well alone sum great room messy chaotic guest sleeping living room couch centrally located great view,-1,0.0
228252938,wonderfully central location beautifully presented comfortable amazingly quiet loved thanks lloyd,-1,0.0
330720782,great location comfortable furnishing quick friendly communication,6,1.0
3670292,pleasure staying ramona trip perfect location unbeatable house gorgeous always attentive need question recommend place anyone visiting,97,1.0
343514608,great central location easy access described listing good stop one night easy get southern cross early trip airport,25,0.4695910821412757
276132197,beautiful,19,1.0
246153694,place nice location perfect linton answer quickly appreciate lot make plan,-1,0.0
258243326,location location location big window tonne natural light overlooking beautiful old building right heart city perfect perfect space spare loved spending time absolutely thanks guy,-1,0.0
276452364,want walk everywhere fabulous outdoor space artistically styled quality furniture wonderful kitchen helpful staff immediately available phone call extremely good value heart,-1,0.0
59627012,host canceled reservation day arrival automated posting,10,1.0
73058518,great close amenity clean upon arrival equipped thing make enjoyable regular contact vendor made feel welcomed rest assured require hesitate ask ideally suit single couple,-1,0.0
255912877,amazing communication skill host helpful kind sparkling clean welcoming vibe return,-1,0.0
191266281,great location small quaint neat tidy require one place,3,0.7723797312900645
209994187,beautiful great location still quiet relaxing even though cbd nearby lot thing,0,1.0
209262609,awesome location access st kilda pub great people,7,0.9352674173807218
301813692,great location accommodation weekend,40,0.5168348933283404
243990391,gayle described communication great enjoyed brief,6,0.39968515894200635
209227224,absolute gem,-1,0.0
48601659,rod place fantastic truly unique find wait come back picture justice rod great host asked accommodating,-1,0.0
